Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ERV_1_HX:Heat Exchanger Total Heating Rate [W](Hourly),ERV_1_FANSUPPLY:Fan Electric Power [W](Hourly),ERV_1_FANSUPPLY:Fan Air Mass Flow Rate [kg/s](Hourly),ERV_1_FANEXHAUST:Fan Electric Power [W](Hourly),ERV_1_FANEXHAUST:Fan Air Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Total Heating Rate [W](Hourly),RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Water Inlet Temperature [C](Hourly),RADIATOR:Baseboard Water Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Rate [W](Hourly),DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/27  11:00:00,-13.558333333333332,17.367409240938316,1269.8921708779387,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,1259.9578567688206,0.0499949,59.49220947987769,49.64335986646464,2000.0,49.76071048506373,59.328885163127669,0.0499949,7394400.0 
 01/27  12:00:00,-12.516666666666666,17.640697732549147,1162.8325642986156,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,1247.2879833857696,0.0499949,59.411993575149917,49.65126638549767,2000.0,49.737386203331,59.30557155700237,0.0499949,7437600.0 
 01/27  13:00:00,-11.458333333333334,17.883116021905708,1102.916934462574,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,1237.040332582086,0.0499949,59.36233881218056,49.67322298258856,2000.0,49.73293518906983,59.301122579989208,0.0499949,7495200.0 
 01/27  14:00:00,-10.825000000000001,17.889889576582765,1074.206312944584,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,1233.8554253870373,0.0499949,59.33624504052879,49.670974536057659,2000.0,49.73817628810255,59.30636128014865,0.0499949,7452000.0 
 01/27  15:00:00,-10.583333333333334,17.80176870782647,1060.7720419711234,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,1237.178725759494,0.0499949,59.320804897234037,49.636733293672318,2000.0,49.7282852303285,59.29647474955514,0.0499949,7444800.0 
 01/27  16:00:00,-10.325000000000001,17.710044996021165,1047.6824947695632,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,1240.2267393386849,0.0499949,59.30511680299679,49.60284155703124,2000.0,49.70803780854495,59.2762365951185,0.0499949,7408800.0 
 01/27  17:00:00,-9.966666666666667,17.697126319477716,1032.976676419146,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,1240.7645640607025,0.0499949,59.28596500857949,49.58019132938582,2000.0,49.68356563765309,59.251775625285628,0.0499949,7430400.0 
 01/27  18:00:00,-9.566666666666669,19.04632854555982,1147.3549364177668,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,1210.3157076995983,0.0499949,59.27376506961817,49.83965313303762,2000.0,49.71910369230654,59.287297413996778,0.0499949,7560000.0 
 01/27  19:00:00,-9.166666666666666,20.212728310723617,1364.7405399790887,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,807.5673617328608,0.031205584066840279,59.38924092578676,49.27923771065559,1333.9843132303588,49.715398484890908,59.96420247952872,0.031205584066840279,5155143.527629292 
 01/27  20:00:00,-8.416666666666666,20.53258878840495,1604.8662575022645,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,783.2767319293679,0.029996940000000004,59.57377441522024,49.41586288418406,1301.5122409892188,49.62235091538255,60.0,0.029996940000000004,4973444.067561187 
 01/27  21:00:00,-7.4750000000000009,20.721352362481214,1788.4541674140808,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,785.8738916330818,0.029996940000000004,59.70263249993338,49.51978162163608,1304.7304134155722,49.59667794905773,60.0,0.029996940000000004,4956229.48829606 
 01/27  22:00:00,-6.516666666666667,20.40267233770981,1871.4316817040765,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,508.8050874022071,0.019164711666666668,59.78229572396871,53.19312750670873,833.828471145751,49.59256328691489,56.24113017224429,0.019164711666666668,3325782.496124703 
 01/27  23:00:00,-5.866666666666667,20.290852103164764,1897.3221944804798,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,535.3501842090218,0.019997960000000003,59.82846778712125,52.91036832386405,871.7019269875359,49.573383814442959,56.523942760616957,0.019997960000000003,3354126.937155129 
 01/27  24:00:00,-5.5249999999999999,20.50637879096345,1897.0361894081764,6.666666666666667,0.0478249747104375,5.0,0.035868731032828119,667.0028019391581,0.024997450000000006,59.865971557528109,51.23549666918577,1090.4132308276064,49.56659767194423,58.261065274569627,0.024997450000000006,3983087.6309793835 
