 TIME                    	LPT3pin                  	LPT2pin                  	LPT1pin                  	LPT3mout                 	LPT2mout                 	LPT1mout                 	
  +5.2500000000000000E+01	  +3.8837987938689184E-01	  +1.7193536270268635E+00	  +4.4912506821507501E+00	  +2.6109064438167472E+04	  +5.3609879214795277E+04	  +5.7702204160190078E+04	
  +5.2625000000000000E+01	  +3.8796776478757783E-01	  +1.7188356413716883E+00	  +4.4909232961474084E+00	  +2.6066012790288860E+04	  +5.3598186885672309E+04	  +5.7700260562324525E+04	
  +5.2750000000000000E+01	  +3.8796776478757783E-01	  +1.7187147936432834E+00	  +4.4914001124993792E+00	  +2.6066012790288860E+04	  +5.3598914195760255E+04	  +5.7708134297117489E+04	
  +5.2875000000000000E+01	  +3.8786198005992012E-01	  +1.7185944713398502E+00	  +4.4921254650153983E+00	  +2.6054419928709922E+04	  +5.3598018934975553E+04	  +5.7719745690052405E+04	
  +5.3000000000000000E+01	  +3.8790119218386943E-01	  +1.7188114547403619E+00	  +4.4927660867209438E+00	  +2.6058717386012977E+04	  +5.3605933923181241E+04	  +5.7728138946535517E+04	
  +5.3125000000000000E+01	  +3.8832885794911415E-01	  +1.7190734645106474E+00	  +4.4929639462421065E+00	  +2.6101136743126150E+04	  +5.3614253081453244E+04	  +5.7729608299133070E+04	
  +5.3250000000000000E+01	  +3.8911423796991401E-01	  +1.7192922579314249E+00	  +4.4937784765244881E+00	  +2.6178251228117391E+04	  +5.3621470814133107E+04	  +5.7740608889311567E+04	
  +5.3375000000000000E+01	  +3.8983491468950965E-01	  +1.7193396786947230E+00	  +4.4938964999025917E+00	  +2.6248213967592852E+04	  +5.3619828674936070E+04	  +5.7742112324740890E+04	
  +5.3500000000000000E+01	  +3.9047611397545978E-01	  +1.7200491469441423E+00	  +4.4949878405547921E+00	  +2.6309428497185007E+04	  +5.3637310418973189E+04	  +5.7754453608716081E+04	
  +5.3625000000000000E+01	  +3.9093728823437141E-01	  +1.7206980776894754E+00	  +4.4956249302111928E+00	  +2.6355369925728304E+04	  +5.3653276381785217E+04	  +5.7760305361971892E+04	
  +5.3750000000000000E+01	  +3.9093728823437141E-01	  +1.7208282094770448E+00	  +4.4953164237488350E+00	  +2.6355369925728304E+04	  +5.3652775124600565E+04	  +5.7754911394110524E+04	
  +5.3875000000000000E+01	  +3.9106272125427360E-01	  +1.7210709505623061E+00	  +4.4945381958332691E+00	  +2.6369066626059939E+04	  +5.3657312785890514E+04	  +5.7741796726136570E+04	
  +5.4000000000000000E+01	  +3.9102150243973921E-01	  +1.7209348347326452E+00	  +4.4933791180241007E+00	  +2.6364566024176922E+04	  +5.3651901424054551E+04	  +5.7725131788239996E+04	
  +5.4125000000000000E+01	  +3.9105479123026388E-01	  +1.7206127445901502E+00	  +4.4925079925066385E+00	  +2.6368200785045821E+04	  +5.3641621085921171E+04	  +5.7713874122733941E+04	
  +5.4250000000000000E+01	  +3.9099235319720871E-01	  +1.7201410384605500E+00	  +4.4911597504571361E+00	  +2.6360848553133452E+04	  +5.3625865482485955E+04	  +5.7696296125209155E+04	
