 TIME                    	HPT2pin                  	HPT1pin                  	HPT2mout                 	HPT1mout                 	
  +6.9125000000000000E+01	  +1.4799320532212507E+01	  +6.7573369343073637E+01	  +6.0280345020495864E+04	  +6.5951964143348145E+04	
  +6.9250000000000000E+01	  +1.4798232011439348E+01	  +6.7577040179962253E+01	  +6.0275068054761454E+04	  +6.5955971779991349E+04	
  +6.9375000000000000E+01	  +1.4798286306418801E+01	  +6.7594810834482857E+01	  +6.0276193464322234E+04	  +6.5974177455875906E+04	
  +6.9500000000000000E+01	  +1.4798815483907768E+01	  +6.7629963145067876E+01	  +6.0279785945102703E+04	  +6.6010094984808966E+04	
  +6.9625000000000000E+01	  +1.4802429408630305E+01	  +6.7663754794690959E+01	  +6.0296772654952110E+04	  +6.6043925160573068E+04	
  +6.9750000000000000E+01	  +1.4832600653891237E+01	  +6.7748425961913682E+01	  +6.0421940718699050E+04	  +6.6125569399285378E+04	
  +6.9875000000000000E+01	  +1.4833021563222344E+01	  +6.7750091868588953E+01	  +6.0421940718699050E+04	  +6.6125569399285378E+04	
  +7.0000000000000000E+01	  +1.4833206570853648E+01	  +6.7715246540969346E+01	  +6.0421940718699050E+04	  +6.6089805302784545E+04	
  +7.0125000000000000E+01	  +1.4827312995983467E+01	  +6.7728903090399299E+01	  +6.0395585099268676E+04	  +6.6105128736985236E+04	
  +7.0250000000000000E+01	  +1.4827339425090761E+01	  +6.7746416544573194E+01	  +6.0395585099268676E+04	  +6.6123076743292841E+04	
  +7.0375000000000000E+01	  +1.4830578256661024E+01	  +6.7737917714133985E+01	  +6.0411906669459022E+04	  +6.6113637315547065E+04	
  +7.0500000000000000E+01	  +1.4834283776815274E+01	  +6.7707099025543030E+01	  +6.0428378309696054E+04	  +6.6081210588662711E+04	
  +7.0625000000000000E+01	  +1.4832522152905067E+01	  +6.7673610048718828E+01	  +6.0418210724203163E+04	  +6.6047273176463685E+04	
  +7.0750000000000000E+01	  +1.4809300070887558E+01	  +6.7575081068670357E+01	  +6.0320746260304419E+04	  +6.5951477571406082E+04	
  +7.0875000000000000E+01	  +1.4800056040703586E+01	  +6.7573055811142268E+01	  +6.0281073328692437E+04	  +6.5951477571406082E+04	
  +7.1000000000000000E+01	  +1.4800290054051546E+01	  +6.7610170683639197E+01	  +6.0281073328692437E+04	  +6.5989474017223722E+04	
  +7.1125000000000000E+01	  +1.4806114781810024E+01	  +6.7606181860501920E+01	  +6.0310858556625339E+04	  +6.5984077358711511E+04	
  +7.1250000000000000E+01	  +1.4806151286584720E+01	  +6.7593038564324146E+01	  +6.0310858556625339E+04	  +6.5970594883470039E+04	
  +7.1375000000000000E+01	  +1.4805022730822898E+01	  +6.7574261628507770E+01	  +6.0303671750663023E+04	  +6.5951598364384205E+04	
  +7.1500000000000000E+01	  +1.4802493471834149E+01	  +6.7558006027703584E+01	  +6.0292503581067482E+04	  +6.5935501250294852E+04	
  +7.1625000000000000E+01	  +1.4798073164068754E+01	  +6.7561112114365230E+01	  +6.0273021344933994E+04	  +6.5939678341099469E+04	
  +7.1750000000000000E+01	  +1.4794831414625143E+01	  +6.7546650234315194E+01	  +6.0259624676120635E+04	  +6.5925580184638980E+04	
  +7.1875000000000000E+01	  +1.4796045119225923E+01	  +6.7514614347098956E+01	  +6.0266735207227241E+04	  +6.5892464443240635E+04	
  +7.2000000000000000E+01	  +1.4793007182888159E+01	  +6.7503441064391055E+01	  +6.0254667818405738E+04	  +6.5881692011880659E+04	
  +7.2125000000000000E+01	  +1.4786076207459695E+01	  +6.7495887073626619E+01	  +6.0223191328506451E+04	  +6.5875504537164466E+04	
  +7.2250000000000000E+01	  +1.4783771050713012E+01	  +6.7493164095304309E+01	  +6.0214191497353066E+04	  +6.5873230642272218E+04	
  +7.2375000000000000E+01	  +1.4782307922322774E+01	  +6.7494173872419324E+01	  +6.0210407881101448E+04	  +6.5874594385752891E+04	
  +7.2500000000000000E+01	  +1.4781547002684995E+01	  +6.7486955025354845E+01	  +6.0207811055014565E+04	  +6.5867364612506892E+04	
  +7.2625000000000000E+01	  +1.4781854463418112E+01	  +6.7494202716679808E+01	  +6.0209958724632575E+04	  +6.5874725770157354E+04	
  +7.2750000000000000E+01	  +1.4780123079192498E+01	  +6.7493392959458092E+01	  +6.0202633475186289E+04	  +6.5874284341799823E+04	
  +7.2875000000000000E+01	  +1.4781343080643010E+01	  +6.7522368567575100E+01	  +6.0207434768364015E+04	  +6.5903715254420647E+04	
  +7.3000000000000000E+01	  +1.4781177025624055E+01	  +6.7520576897832925E+01	  +6.0207461607758960E+04	  +6.5901915780217503E+04	
  +7.3125000000000000E+01	  +1.4787013863527850E+01	  +6.7520288626905852E+01	  +6.0233015655411196E+04	  +6.5900310073158646E+04	
  +7.3250000000000000E+01	  +1.4786675953275013E+01	  +6.7520799482489181E+01	  +6.0231580752904454E+04	  +6.5900909654505624E+04	
  +7.3375000000000000E+01	  +1.4786335473842950E+01	  +6.7514134202488151E+01	  +6.0227760656066028E+04	  +6.5894153006843393E+04	
  +7.3500000000000000E+01	  +1.4786475036149328E+01	  +6.7491876047512889E+01	  +6.0228516424947098E+04	  +6.5871302881765296E+04	
  +7.3625000000000000E+01	  +1.4785205935848509E+01	  +6.7474300957523567E+01	  +6.0222794802332806E+04	  +6.5853569957235901E+04	
  +7.3750000000000000E+01	  +1.4780486507117988E+01	  +6.7446149674972602E+01	  +6.0201616268048674E+04	  +6.5825769297818508E+04	
  +7.3875000000000000E+01	  +1.4777205433643219E+01	  +6.7427836074482641E+01	  +6.0187494445796401E+04	  +6.5807731156885551E+04	
  +7.4000000000000000E+01	  +1.4771504469751363E+01	  +6.7401834454377209E+01	  +6.0163851075098297E+04	  +6.5782354858382168E+04	
  +7.4125000000000000E+01	  +1.4767761757449181E+01	  +6.7392338197262006E+01	  +6.0148436190350702E+04	  +6.5773460067880034E+04	
  +7.4250000000000000E+01	  +1.4762514266613774E+01	  +6.7382453865927189E+01	  +6.0127558731373043E+04	  +6.5764505378749032E+04	
  +7.4375000000000000E+01	  +1.4760499994264054E+01	  +6.7378782076176122E+01	  +6.0120262840240684E+04	  +6.5761193478286354E+04	
  +7.4500000000000000E+01	  +1.4758331510858369E+01	  +6.7390034274913120E+01	  +6.0112970949333765E+04	  +6.5773215984244336E+04	
  +7.4625000000000000E+01	  +1.4756864512963121E+01	  +6.7395217722863208E+01	  +6.0107873020517138E+04	  +6.5778859235238051E+04	
  +7.4750000000000000E+01	  +1.4759085275766150E+01	  +6.7427284692974595E+01	  +6.0118839388900939E+04	  +6.5811234549469082E+04	
  +7.4875000000000000E+01	  +1.4759850958597545E+01	  +6.7419416270748457E+01	  +6.0122967381934541E+04	  +6.5802996371952453E+04	
  +7.5000000000000000E+01	  +1.4766258135040029E+01	  +6.7418426614526624E+01	  +6.0150694529522531E+04	  +6.5800543480390348E+04	
  +7.5125000000000000E+01	  +1.4764439939730169E+01	  +6.7425682049076443E+01	  +6.0142313833413682E+04	  +6.5808389784686806E+04	
  +7.5250000000000000E+01	  +1.4763880474812039E+01	  +6.7431878525275351E+01	  +6.0137160467286041E+04	  +6.5814867788415591E+04	
  +7.5375000000000000E+01	  +1.4765650583313656E+01	  +6.7420354888878165E+01	  +6.0145400893138365E+04	  +6.5802656723288790E+04	
  +7.5500000000000000E+01	  +1.4767074140423361E+01	  +6.7387466145162406E+01	  +6.0152033436353595E+04	  +6.5768619680406089E+04	
  +7.5625000000000000E+01	  +1.4765039649092122E+01	  +6.7351470679972834E+01	  +6.0141799277840080E+04	  +6.5732173619730602E+04	
  +7.5750000000000000E+01	  +1.4737280870445208E+01	  +6.7280794493739378E+01	  +6.0025919809668507E+04	  +6.5664589095061703E+04	
  +7.5875000000000000E+01	  +1.4736905148931321E+01	  +6.7279382725477973E+01	  +6.0025919809668507E+04	  +6.5664589095061703E+04	
  +7.6000000000000000E+01	  +1.4736839554828416E+01	  +6.7311119494914195E+01	  +6.0025919809668507E+04	  +6.5697139515475894E+04	
  +7.6125000000000000E+01	  +1.4742082457703853E+01	  +6.7303694915409835E+01	  +6.0049561044884125E+04	  +6.5688351004601514E+04	
  +7.6250000000000000E+01	  +1.4742061506141898E+01	  +6.7289926062241491E+01	  +6.0049561044884125E+04	  +6.5674240012297596E+04	
  +7.6375000000000000E+01	  +1.4740300346587253E+01	  +6.7253538183786219E+01	  +6.0039529651187593E+04	  +6.5637330565991142E+04	
  +7.6500000000000000E+01	  +1.4737552505084166E+01	  +6.7209106091972004E+01	  +6.0026867740346643E+04	  +6.5592395059969684E+04	
  +7.6625000000000000E+01	  +1.4702918083215938E+01	  +6.7117246006664800E+01	  +5.9883489692620664E+04	  +6.5503529679931053E+04	
  +7.6750000000000000E+01	  +1.4702473960114393E+01	  +6.7114738261467849E+01	  +5.9883489692620664E+04	  +6.5503529679931053E+04	
  +7.6875000000000000E+01	  +1.4701955684534530E+01	  +6.7136109556463396E+01	  +5.9883489692620664E+04	  +6.5525555529451012E+04	
  +7.7000000000000000E+01	  +1.4705183267998047E+01	  +6.7112449140490710E+01	  +5.9897916553430310E+04	  +6.5500574344423541E+04	
  +7.7125000000000000E+01	  +1.4705106296566353E+01	  +6.7084775040141693E+01	  +5.9897916553430310E+04	  +6.5472219781937732E+04	
  +7.7250000000000000E+01	  +1.4700026392070514E+01	  +6.7069733824485823E+01	  +5.9874068609422386E+04	  +6.5457940754964715E+04	
  +7.7375000000000000E+01	  +1.4715127498556066E+01	  +6.7189176466657941E+01	  +5.9945335008112197E+04	  +6.5577001215590251E+04	
  +7.7500000000000000E+01	  +1.4714003339375822E+01	  +6.7188930273074774E+01	  +5.9934448040204399E+04	  +6.5577001215590251E+04	
  +7.7625000000000000E+01	  +1.4713736611015161E+01	  +6.7202775168268445E+01	  +5.9934448040204399E+04	  +6.5591254450493230E+04	
  +7.7750000000000000E+01	  +1.4729366747737213E+01	  +6.7300477424577309E+01	  +6.0006119877708559E+04	  +6.5687906699632513E+04	
  +7.7875000000000000E+01	  +1.4737178192787594E+01	  +6.7302187467218829E+01	  +6.0034340738802231E+04	  +6.5687906699632513E+04	
  +7.8000000000000000E+01	  +1.4737059155179303E+01	  +6.7276299556529722E+01	  +6.0034340738802231E+04	  +6.5661393685397808E+04	
  +7.8125000000000000E+01	  +1.4732663687056482E+01	  +6.7281022604412684E+01	  +6.0012303483663338E+04	  +6.5667222556777066E+04	
