 TIME                    	HPT_powerMW              	LPT_powerMW              	P1_powerMW               	P2_powerMW               	P3_powerMW               	Wnet_MW                  	Wgross_MW                	eta_net                  	eta_gross                	eta_CHP                  	m_fuel_h                 	
  +1.4737500000000000E+02	  +1.6600719314093404E+01	  +1.0168397390528902E+01	  +1.3988349275763053E-04	  +1.2840070590252441E-02	  +2.6838531199638677E-01	  +2.3838976294688621E+01	  +2.6769116704622309E+01	  +2.7197979196719713E-01	  +3.0540987593040836E-01	  +7.8932350536970486E-01	  +2.6062551042880725E+04	
  +1.4750000000000000E+02	  +1.6604057731711276E+01	  +1.0172603176154468E+01	  +1.3789251783380703E-04	  +1.2820065041838373E-02	  +2.6840513535092225E-01	  +2.3845768033459635E+01	  +2.6776660907865743E+01	  +2.7200508248366956E-01	  +3.0543733582669469E-01	  +7.8903318346589202E-01	  +2.6067552342513132E+04	
  +1.4762500000000000E+02	  +1.6604867355766643E+01	  +1.0174643096689444E+01	  +1.3792793275703148E-04	  +1.2825190954461350E-02	  +2.6855695120390977E-01	  +2.3848191344128459E+01	  +2.6779510452456083E+01	  +2.7203306318728493E-01	  +3.0547022010669683E-01	  +7.8939978876597994E-01	  +2.6067519918802605E+04	
  +1.4775000000000000E+02	  +1.6610747903571525E+01	  +1.0172607584941039E+01	  +1.3794361533278000E-04	  +1.2829532516227435E-02	  +2.6850492995672043E-01	  +2.3851694774181858E+01	  +2.6783355488512566E+01	  +2.7197432468733473E-01	  +3.0540324663780155E-01	  +7.8902161446720587E-01	  +2.6076980029372287E+04	
  +1.4787500000000000E+02	  +1.6607387272430636E+01	  +1.0174623785729478E+01	  +1.3779366518716017E-04	  +1.2829742351951955E-02	  +2.6864768115357529E-01	  +2.3850356256890461E+01	  +2.6782011058160112E+01	  +2.7201473061925241E-01	  +3.0545042786614846E-01	  +7.8907357766633623E-01	  +2.6071643292739274E+04	
  +1.4800000000000000E+02	  +1.6610624436949159E+01	  +1.0174877216988289E+01	  +1.3760492465001383E-04	  +1.2828363886265398E-02	  +2.6862671579027098E-01	  +2.3853518072402636E+01	  +2.6785501653937448E+01	  +2.7201629823247669E-01	  +3.0545150547975575E-01	  +7.8890816476384895E-01	  +2.6074949312634290E+04	
  +1.4812500000000000E+02	  +1.6611945267886306E+01	  +1.0179998406000797E+01	  +1.3756626104212186E-04	  +1.2825259443559561E-02	  +2.6871027217550264E-01	  +2.3859243518406299E+01	  +2.6791943673887104E+01	  +2.7204279108566104E-01	  +3.0548140095184850E-01	  +7.8884130435816213E-01	  +2.6078668042992686E+04	
  +1.4825000000000000E+02	  +1.6613571657814596E+01	  +1.0180874498742321E+01	  +1.3829264507636557E-04	  +1.2823005841445674E-02	  +2.6874107653274071E-01	  +2.3861469403383886E+01	  +2.6794446156556912E+01	  +2.7203130293946615E-01	  +3.0546853491243409E-01	  +7.8894158711162665E-01	  +2.6082202413538987E+04	
  +1.4837500000000000E+02	  +1.6614739083442657E+01	  +1.0182392528160442E+01	  +1.3829264507636557E-04	  +1.2834410831424800E-02	  +2.6870456943600080E-01	  +2.3863908904821539E+01	  +2.6797131611603103E+01	  +2.7206359017615361E-01	  +3.0550417627527221E-01	  +7.8870190903090287E-01	  +2.6081773323396163E+04	
  +1.4850000000000000E+02	  +1.6609901575144438E+01	  +1.0184407507426235E+01	  +1.3926608440484006E-04	  +1.2844475439420249E-02	  +2.6873505940189341E-01	  +2.3861331253480454E+01	  +2.6794309082570670E+01	  +2.7211866403383672E-01	  +3.0556684008128493E-01	  +7.8925273169412902E-01	  +2.6073678013197848E+04	
  +1.4862500000000000E+02	  +1.6611148006646584E+01	  +1.0184736911746969E+01	  +1.3926608440484006E-04	  +1.2841469029429679E-02	  +2.6853277483414384E-01	  +2.3862934267601023E+01	  +2.6795884918393558E+01	  +2.7210441897703169E-01	  +3.0554828735351031E-01	  +7.8903618479393922E-01	  +2.6076794739851204E+04	
  +1.4875000000000000E+02	  +1.6602338269522104E+01	  +1.0180233403081481E+01	  +1.3979561759937977E-04	  +1.2844677510692033E-02	  +2.6856984328931144E-01	  +2.3850915620567385E+01	  +2.6782571672603584E+01	  +2.7209202644235048E-01	  +3.0553645468654944E-01	  +7.8921720066628676E-01	  +2.6064848153893461E+04	
