 TIME                    	Pump1flow                	PumpDeaLPflow            	PumpDeaHPflow            	
  +1.1425000000000000E+02	  +3.2260320726717939E+04	  +8.5167448865060549E+04	  +1.0048341521333587E+05	
  +1.1437500000000000E+02	  +3.2241340089698933E+04	  +8.5294820175766974E+04	  +1.0062834445550820E+05	
  +1.1450000000000000E+02	  +3.2215821833101887E+04	  +8.5411226262477066E+04	  +1.0077070728206422E+05	
  +1.1462500000000000E+02	  +3.2231250717187679E+04	  +8.5496196023907512E+04	  +1.0090804652176680E+05	
  +1.1475000000000000E+02	  +3.2322531456089586E+04	  +8.5620609080404771E+04	  +1.0104938479239051E+05	
  +1.1487500000000000E+02	  +3.2387579327707477E+04	  +8.5620016531614761E+04	  +1.0117750023945437E+05	
  +1.1500000000000000E+02	  +3.2499635637126383E+04	  +8.5841018104680115E+04	  +1.0131543501930055E+05	
  +1.1512500000000000E+02	  +3.2499124512636598E+04	  +8.5799649138384077E+04	  +1.0142121799288056E+05	
  +1.1525000000000000E+02	  +3.2835397456751663E+04	  +8.6136632296245531E+04	  +1.0160526203612384E+05	
  +1.1537500000000000E+02	  +3.2818630836338940E+04	  +8.6053693877147773E+04	  +1.0160345148973813E+05	
  +1.1550000000000000E+02	  +3.3093594723234273E+04	  +8.6255466878910680E+04	  +1.0179670856735785E+05	
  +1.1562500000000000E+02	  +3.3088385086208917E+04	  +8.6213884738202061E+04	  +1.0180647842350978E+05	
  +1.1575000000000000E+02	  +3.3242843486005026E+04	  +8.6386781892608444E+04	  +1.0196446562973983E+05	
  +1.1587500000000000E+02	  +3.3197286913677817E+04	  +8.6385395157853374E+04	  +1.0200640070507955E+05	
  +1.1600000000000000E+02	  +3.3382721635130001E+04	  +8.6562987725538318E+04	  +1.0215753206080054E+05	
  +1.1612500000000000E+02	  +3.3324043804491979E+04	  +8.6440155063678962E+04	  +1.0218272667522061E+05	
  +1.1625000000000000E+02	  +3.3599978662859154E+04	  +8.6744186423220031E+04	  +1.0233862545584171E+05	
  +1.1637500000000000E+02	  +3.3577204382868425E+04	  +8.6691299340412559E+04	  +1.0233241829159611E+05	
  +1.1650000000000000E+02	  +3.3775156552652210E+04	  +8.6834522855707153E+04	  +1.0248217460119963E+05	
  +1.1662500000000000E+02	  +3.3766533637097687E+04	  +8.6807295477350621E+04	  +1.0249399643865944E+05	
  +1.1675000000000000E+02	  +3.3866048161288301E+04	  +8.6902011857900041E+04	  +1.0261496287300780E+05	
  +1.1687500000000000E+02	  +3.3859905366664207E+04	  +8.6908245759243495E+04	  +1.0265349063573655E+05	
  +1.1700000000000000E+02	  +3.3840692665992290E+04	  +8.6893584401541579E+04	  +1.0275468730844001E+05	
  +1.1712500000000000E+02	  +3.4078025939825551E+04	  +8.7176340147357332E+04	  +1.0286142371496090E+05	
  +1.1725000000000000E+02	  +3.4017670142127041E+04	  +8.7151839697633201E+04	  +1.0283529632884639E+05	
  +1.1737500000000000E+02	  +3.4170042569010708E+04	  +8.7217670671776708E+04	  +1.0296988284423963E+05	
  +1.1750000000000000E+02	  +3.4166111081278963E+04	  +8.7194270290096538E+04	  +1.0299221387637094E+05	
  +1.1762500000000000E+02	  +3.4280417224667595E+04	  +8.7316579602104262E+04	  +1.0310080297047600E+05	
  +1.1775000000000000E+02	  +3.4273092826549058E+04	  +8.7315504988336223E+04	  +1.0312562976545462E+05	
