 TIME                    	pcond_low                	hcond_low                	hsteam_low               	
  +5.2375000000000000E+01	  +2.4140561035213606E-01	  +2.6712437271412961E+02	  +2.3893662907377943E+03	
  +5.2500000000000000E+01	  +2.4134405737629042E-01	  +2.6710107492652912E+02	  +2.3893169791365617E+03	
  +5.2625000000000000E+01	  +2.4131330427808667E-01	  +2.6708943488573232E+02	  +2.3891780731612334E+03	
  +5.2750000000000000E+01	  +2.4131330427808667E-01	  +2.6708943488573232E+02	  +2.3891780731612334E+03	
  +5.2875000000000000E+01	  +2.4131330427808667E-01	  +2.6708943488573232E+02	  +2.3889684889720388E+03	
  +5.3000000000000000E+01	  +2.4131330427808667E-01	  +2.6708943488573232E+02	  +2.3887317758028507E+03	
  +5.3125000000000000E+01	  +2.4137842803089954E-01	  +2.6711408421161678E+02	  +2.3883146802804486E+03	
  +5.3250000000000000E+01	  +2.4150888528174511E-01	  +2.6716346225190472E+02	  +2.3879869504823578E+03	
  +5.3375000000000000E+01	  +2.4163962247065360E-01	  +2.6721294624868676E+02	  +2.3877673844848837E+03	
  +5.3500000000000000E+01	  +2.4177063993160078E-01	  +2.6726253632837290E+02	  +2.3877981572296558E+03	
  +5.3625000000000000E+01	  +2.4183625386866031E-01	  +2.6728737118888523E+02	  +2.3878636198730342E+03	
  +5.3750000000000000E+01	  +2.4183625386866031E-01	  +2.6728737118888523E+02	  +2.3878636198730342E+03	
  +5.3875000000000000E+01	  +2.4183625386866031E-01	  +2.6728737118888523E+02	  +2.3880441314580739E+03	
  +5.4000000000000000E+01	  +2.4183625386866031E-01	  +2.6728737118888523E+02	  +2.3882841034363687E+03	
  +5.4125000000000000E+01	  +2.4184416812461434E-01	  +2.6729036673299493E+02	  +2.3884440775027201E+03	
  +5.4250000000000000E+01	  +2.4185999969685054E-01	  +2.6729635897954796E+02	  +2.3886198319331656E+03	
  +5.4375000000000000E+01	  +2.4187583535001422E-01	  +2.6730235277073120E+02	  +2.3888112337173225E+03	
  +5.4500000000000000E+01	  +2.4189167508469336E-01	  +2.6730834810676708E+02	  +2.3889962963414087E+03	
  +5.4625000000000000E+01	  +2.4189959648278497E-01	  +2.6731134635417425E+02	  +2.3890374514351815E+03	
  +5.4750000000000000E+01	  +2.4189959648278497E-01	  +2.6731134635417425E+02	  +2.3891139806674551E+03	
  +5.4875000000000000E+01	  +2.4189959648278497E-01	  +2.6731134635417425E+02	  +2.3889969274741970E+03	
  +5.5000000000000000E+01	  +2.4189959648278497E-01	  +2.6731134635417425E+02	  +2.3889945607185346E+03	
  +5.5125000000000000E+01	  +2.4187488796546006E-01	  +2.6730199418588921E+02	  +2.3889719726580356E+03	
  +5.5250000000000000E+01	  +2.4182550071972830E-01	  +2.6728330112441779E+02	  +2.3889824842737903E+03	
  +5.5375000000000000E+01	  +2.4177615317768400E-01	  +2.6726462309078312E+02	  +2.3889360009860061E+03	
  +5.5500000000000000E+01	  +2.4172684532149655E-01	  +2.6724596007823652E+02	  +2.3888329220862065E+03	
  +5.5625000000000000E+01	  +2.4170220627003131E-01	  +2.6723663420276375E+02	  +2.3886997954358467E+03	
  +5.5750000000000000E+01	  +2.4170220627003131E-01	  +2.6723663420276375E+02	  +2.3886963638163625E+03	
  +5.5875000000000000E+01	  +2.4170220627003131E-01	  +2.6723663420276375E+02	  +2.3886608444350773E+03	
  +5.6000000000000000E+01	  +2.4170220627003131E-01	  +2.6723663420276375E+02	  +2.3887335868894115E+03	
  +5.6125000000000000E+01	  +2.4170880472057921E-01	  +2.6723913171482138E+02	  +2.3882929331057817E+03	
  +5.6250000000000000E+01	  +2.4172200375571889E-01	  +2.6724412754667173E+02	  +2.3877949572326183E+03	
  +5.6375000000000000E+01	  +2.4173520563653511E-01	  +2.6724912445561012E+02	  +2.3878218092090333E+03	
  +5.6500000000000000E+01	  +2.4174841036337008E-01	  +2.6725412244176584E+02	  +2.3878685613653042E+03	
  +5.6625000000000000E+01	  +2.4175501379415137E-01	  +2.6725662183884077E+02	  +2.3882364192866198E+03	
  +5.6750000000000000E+01	  +2.4175501379415137E-01	  +2.6725662183884077E+02	  +2.3882364192866198E+03	
  +5.6875000000000000E+01	  +2.4175501379415137E-01	  +2.6725662183884077E+02	  +2.3882175159865387E+03	
  +5.7000000000000000E+01	  +2.4175501379415137E-01	  +2.6725662183884077E+02	  +2.3882285644941821E+03	
  +5.7125000000000000E+01	  +2.4188054875709322E-01	  +2.6730413679425720E+02	  +2.3881239148367827E+03	
  +5.7250000000000000E+01	  +2.4213238975328133E-01	  +2.6739945855502788E+02	  +2.3877554359114561E+03	
  +5.7375000000000000E+01	  +2.4238526080636824E-01	  +2.6749517019210458E+02	  +2.3879477410927225E+03	
  +5.7500000000000000E+01	  +2.4263916428093077E-01	  +2.6759127260047910E+02	  +2.3879694157854096E+03	
  +5.7625000000000000E+01	  +2.4276650391794677E-01	  +2.6763947062462927E+02	  +2.3884476587034146E+03	
  +5.7750000000000000E+01	  +2.4276650391794677E-01	  +2.6763947062462927E+02	  +2.3902873856639835E+03	
  +5.7875000000000000E+01	  +2.4276650391794677E-01	  +2.6763947062462927E+02	  +2.3902551841430704E+03	
  +5.8000000000000000E+01	  +2.4276650391794677E-01	  +2.6763947062462927E+02	  +2.3896177796976508E+03	
  +5.8125000000000000E+01	  +2.4277120071401861E-01	  +2.6764124836089269E+02	  +2.3894457630779584E+03	
  +5.8250000000000000E+01	  +2.4278059536103752E-01	  +2.6764480423268969E+02	  +2.3889284182279380E+03	
  +5.8375000000000000E+01	  +2.4278999141465599E-01	  +2.6764836063688421E+02	  +2.3886086933950301E+03	
  +5.8500000000000000E+01	  +2.4279938887499314E-01	  +2.6765191757352147E+02	  +2.3885666970678503E+03	
  +5.8625000000000000E+01	  +2.4280408813271859E-01	  +2.6765369624152027E+02	  +2.3889252444149311E+03	
  +5.8750000000000000E+01	  +2.4280408813271859E-01	  +2.6765369624152027E+02	  +2.3889252444149311E+03	
  +5.8875000000000000E+01	  +2.4280408813271859E-01	  +2.6765369624152027E+02	  +2.3891717476744043E+03	
  +5.9000000000000000E+01	  +2.4280408813271859E-01	  +2.6765369624152027E+02	  +2.3893966777090282E+03	
  +5.9125000000000000E+01	  +2.4277435056376986E-01	  +2.6764244057831962E+02	  +2.3893562727722815E+03	
  +5.9250000000000000E+01	  +2.4271491768242054E-01	  +2.6761994524601209E+02	  +2.3889441637139025E+03	
  +5.9375000000000000E+01	  +2.4265554111794219E-01	  +2.6759747122962773E+02	  +2.3888765828707269E+03	
  +5.9500000000000000E+01	  +2.4259622084012988E-01	  +2.6757501851773378E+02	  +2.3887570469104880E+03	
  +5.9625000000000000E+01	  +2.4256658179929244E-01	  +2.6756380014740120E+02	  +2.3888253079759979E+03	
  +5.9750000000000000E+01	  +2.4256658179929244E-01	  +2.6756380014740120E+02	  +2.3888253079759979E+03	
  +5.9875000000000000E+01	  +2.4256658179929244E-01	  +2.6756380014740120E+02	  +2.3891171391044636E+03	
