 TIME                    	DeaLPmout                	ColdPHm_c_out            	DeaHPmout                	HotPHm_c_out             	DeaLPTout                	ColdPhT_c_out            	DeaHPTout                	HotPhT_c_out             	
  +5.3750000000000000E+00	  +5.0335869685517981E+04	  +5.0339399053939174E+04	  +5.8184138474590043E+04	  +5.8196111629962092E+04	  +6.9323337068302266E+01	  +1.0993639951404323E+02	  +1.4078186040959642E+02	  +1.8780228337315995E+02	
  +5.5000000000000000E+00	  +5.0850817887172052E+04	  +5.0854783310606668E+04	  +5.8804149738287822E+04	  +5.8818868200222059E+04	  +6.9155197061261546E+01	  +1.1021473419554097E+02	  +1.4115901107874848E+02	  +1.8823535001893663E+02	
  +5.6250000000000000E+00	  +5.1387742754612824E+04	  +5.1393143000998236E+04	  +5.9447546615563158E+04	  +5.9465394974678173E+04	  +6.9193490485277053E+01	  +1.1053205328635559E+02	  +1.4155565148027969E+02	  +1.8868189073464569E+02	
  +5.7500000000000000E+00	  +5.1777011931388406E+04	  +5.1780589461357958E+04	  +5.9911508338099105E+04	  +5.9925941108465544E+04	  +6.9374546174748943E+01	  +1.1077886033956602E+02	  +1.4184671271761999E+02	  +1.8901154843118610E+02	
  +5.8750000000000000E+00	  +5.2061975604849955E+04	  +5.2025851831780783E+04	  +6.0210898710861497E+04	  +6.0269761891905917E+04	  +6.9570216413682388E+01	  +1.1096114672257784E+02	  +1.4206334494479020E+02	  +1.8925656434911113E+02	
  +6.0000000000000000E+00	  +5.2386622332695501E+04	  +5.2346243295187225E+04	  +6.0592614788878585E+04	  +6.0644075720920642E+04	  +6.9656698596374440E+01	  +1.1115183280046925E+02	  +1.4229688212238096E+02	  +1.8951414141716180E+02	
  +6.1250000000000000E+00	  +5.2659397219873084E+04	  +5.2626743606583805E+04	  +6.0934135218104260E+04	  +6.0984142430360356E+04	  +6.9588050092785181E+01	  +1.1126909219726076E+02	  +1.4250124736856344E+02	  +1.8974971547987386E+02	
  +6.2500000000000000E+00	  +5.3112535176264741E+04	  +5.3115888596540688E+04	  +6.1524471544403474E+04	  +6.1535754190604639E+04	  +6.9389808936157181E+01	  +1.1144504482863671E+02	  +1.4282304582645779E+02	  +1.9011708525596515E+02	
  +6.3750000000000000E+00	  +5.3654479045013824E+04	  +5.3658441346425359E+04	  +6.2186843466750979E+04	  +6.2205044505051628E+04	  +6.9243772339986521E+01	  +1.1166807500824015E+02	  +1.4321982965089779E+02	  +1.9056655378533148E+02	
  +6.5000000000000000E+00	  +5.4166370182611812E+04	  +5.4169902730197624E+04	  +6.2813494719961644E+04	  +6.2834906178349396E+04	  +6.9091859092227679E+01	  +1.1187480140090673E+02	  +1.4359558702377112E+02	  +1.9099640586051143E+02	
  +6.6250000000000000E+00	  +5.4705753032235465E+04	  +5.4711067505367588E+04	  +6.3471614098827682E+04	  +6.3487301125794635E+04	  +6.9156499834694642E+01	  +1.1211496666455562E+02	  +1.4392624624082450E+02	  +1.9143669996673870E+02	
  +6.7500000000000000E+00	  +5.5076503032282140E+04	  +5.5078751254715331E+04	  +6.3920563463578634E+04	  +6.3933547625655221E+04	  +6.9339747674688994E+01	  +1.1228906748548451E+02	  +1.4415222018473253E+02	  +1.9174561469467537E+02	
  +6.8750000000000000E+00	  +5.5338824089756105E+04	  +5.5305360710411740E+04	  +6.4202662896116002E+04	  +6.4255869818461331E+04	  +6.9531827510166110E+01	  +1.1241709728370193E+02	  +1.4431508145389779E+02	  +1.9196642702387217E+02	
  +7.0000000000000000E+00	  +5.5644627517035391E+04	  +5.5601995763675062E+04	  +6.4562018366238393E+04	  +6.4613354077762051E+04	  +6.9615598699771695E+01	  +1.1255990121062018E+02	  +1.4449431126239514E+02	  +1.9220385494734390E+02	
  +7.1250000000000000E+00	  +5.5871359429761353E+04	  +5.5875513473222556E+04	  +6.4895275633129699E+04	  +6.4936351103393165E+04	  +6.9639024624215125E+01	  +1.1266939073047566E+02	  +1.4465240489304338E+02	  +1.9241917873807645E+02	
  +7.2500000000000000E+00	  +5.6335556607042003E+04	  +5.6340390691924382E+04	  +6.5457837123445759E+04	  +6.5461250331201300E+04	  +6.9428025265009325E+01	  +1.1284031394802675E+02	  +1.4490425867056692E+02	  +1.9275904398419428E+02	
  +7.3750000000000000E+00	  +5.6803818150556144E+04	  +5.6807011857200254E+04	  +6.6030577068179235E+04	  +6.6040755238109574E+04	  +6.9315227470229004E+01	  +1.1302951057899078E+02	  +1.4518313412669477E+02	  +1.9313762581943018E+02	
  +7.5000000000000000E+00	  +5.7276822831948586E+04	  +5.7280103622019618E+04	  +6.6611512917936838E+04	  +6.6624740550628252E+04	  +6.9211947062477023E+01	  +1.1322060854808099E+02	  +1.4546620345907436E+02	  +1.9352115279920267E+02	
  +7.6250000000000000E+00	  +5.7758503496023775E+04	  +5.7762954748633070E+04	  +6.7201664014689100E+04	  +6.7216800600602830E+04	  +6.9277541923006311E+01	  +1.1343299564004649E+02	  +1.4575754593404974E+02	  +1.9390957480100494E+02	
  +7.7500000000000000E+00	  +5.8100293520143154E+04	  +5.8103380944546188E+04	  +6.7619767397797390E+04	  +6.7635855988052514E+04	  +6.9450275952558059E+01	  +1.1359371121170673E+02	  +1.4596785543434262E+02	  +1.9419255108927848E+02	
  +7.8750000000000000E+00	  +5.8316300942468595E+04	  +5.8316512002772797E+04	  +6.7886840857375311E+04	  +6.7940682673132629E+04	  +6.9639292872721214E+01	  +1.1371137199841721E+02	  +1.4612154227936364E+02	  +1.9439728100822765E+02	
  +8.0000000000000000E+00	  +5.8615709024283380E+04	  +5.8608871704658726E+04	  +6.8242079202628069E+04	  +6.8293798667818977E+04	  +6.9796524130492401E+01	  +1.1385432508413534E+02	  +1.4629839495149733E+02	  +1.9462744640187853E+02	
  +8.1250000000000000E+00	  +5.8835478289900711E+04	  +5.8839071565039776E+04	  +6.8557343786277546E+04	  +6.8591374482615982E+04	  +6.9266118631111368E+01	  +1.1388773720483898E+02	  +1.4642588425596637E+02	  +1.9481533922806375E+02	
  +8.2500000000000000E+00	  +5.9723095458024072E+04	  +5.9724510142155821E+04	  +6.9617007984443946E+04	  +6.9589953945189161E+04	  +6.8146940751459169E+01	  +1.1414438197825936E+02	  +1.4690851180682503E+02	  +1.9543653355515750E+02	
  +8.3750000000000000E+00	  +6.0854431245565574E+04	  +6.0854958440693816E+04	  +7.1013569544622704E+04	  +7.0969125647227469E+04	  +6.7275162721526343E+01	  +1.1453147865604748E+02	  +1.4755863226999776E+02	  +1.9624198400287185E+02	
  +8.5000000000000000E+00	  +6.1960606363740531E+04	  +6.1957948453227269E+04	  +7.2354764250432854E+04	  +7.2324783298249560E+04	  +6.6495828220882885E+01	  +1.1492265985278439E+02	  +1.4821573614728334E+02	  +1.9689936522828549E+02	
  +8.6250000000000000E+00	  +6.3167699862780704E+04	  +6.3164554550810739E+04	  +7.3810393696579791E+04	  +7.3780149063601420E+04	  +6.6528690198047300E+01	  +1.1541886801696130E+02	  +1.4893875556469740E+02	  +1.9760712747836624E+02	
  +8.7500000000000000E+00	  +6.3797411531952886E+04	  +6.3797411531952886E+04	  +7.4561474414100638E+04	  +7.4567073435590122E+04	  +6.6788800662986901E+01	  +1.1569528999156076E+02	  +1.4932682969675889E+02	  +1.9795292596264616E+02	
  +8.8750000000000000E+00	  +6.4104628997031628E+04	  +6.4050445582270113E+04	  +7.4879125247503893E+04	  +7.4973380934963818E+04	  +6.7054983131410268E+01	  +1.1586217164797115E+02	  +1.4953960545063416E+02	  +1.9816233516267127E+02	
  +9.0000000000000000E+00	  +6.4589367491631012E+04	  +6.4589070175583292E+04	  +7.5517078094545272E+04	  +7.5554669871141290E+04	  +6.7332534156124154E+01	  +1.1608085918627260E+02	  +1.4983124405476266E+02	  +1.9843738273473147E+02	
