 TIME                    	pinLPT3_condhigh         	pcond_high_bar           	h_condhigh               	h_steamhigh              	
  +8.4625000000000000E+01	  +3.7669872540434246E-01	  +4.1497510445108549E-01	  +3.1088647586485121E+02	  +2.4390795475044047E+03	
  +8.4750000000000000E+01	  +3.7744437599057379E-01	  +4.1497510445108549E-01	  +3.1104641182839583E+02	  +2.4392087601721591E+03	
  +8.4875000000000000E+01	  +3.7805968104272486E-01	  +4.1497510445108549E-01	  +3.1125780364395035E+02	  +2.4389497186269809E+03	
  +8.5000000000000000E+01	  +3.7872444615180095E-01	  +4.1497510445108549E-01	  +3.1143224252255624E+02	  +2.4392368812897944E+03	
  +8.5125000000000000E+01	  +3.8000032233341619E-01	  +4.1437431645211220E-01	  +3.1162070331896638E+02	  +2.4393164709557359E+03	
  +8.5250000000000000E+01	  +3.8172181957327644E-01	  +4.1317494024126611E-01	  +3.1234519167000803E+02	  +2.4401866421058630E+03	
  +8.5375000000000000E+01	  +3.8311192482550760E-01	  +4.1197849268446285E-01	  +3.1286455278367208E+02	  +2.4403643637597784E+03	
  +8.5500000000000000E+01	  +3.8563128887380760E-01	  +4.1078496851217311E-01	  +3.1357879206685226E+02	  +2.4404767774853281E+03	
  +8.5625000000000000E+01	  +3.8588149952747897E-01	  +4.1018930105004947E-01	  +3.1354800545875736E+02	  +2.4413811676988976E+03	
  +8.5750000000000000E+01	  +3.8701081511016289E-01	  +4.1018930105004947E-01	  +3.1396988752240873E+02	  +2.4410306847266843E+03	
  +8.5875000000000000E+01	  +3.8693759813012951E-01	  +4.1018930105004947E-01	  +3.1394913052090646E+02	  +2.4417516770427919E+03	
  +8.6000000000000000E+01	  +3.8796593174009636E-01	  +4.1018930105004947E-01	  +3.1424066292605778E+02	  +2.4410485499662914E+03	
  +8.6125000000000000E+01	  +3.8724503568325824E-01	  +4.1093943900471308E-01	  +3.1422108020784395E+02	  +2.4423737131780663E+03	
  +8.6250000000000000E+01	  +3.8861303486558474E-01	  +4.1244318681212366E-01	  +3.1442411655309689E+02	  +2.4408276668880221E+03	
  +8.6375000000000000E+01	  +3.8774170122532303E-01	  +4.1395157257733761E-01	  +3.1437898176087441E+02	  +2.4416674031830589E+03	
  +8.6500000000000000E+01	  +3.8839031281757030E-01	  +4.1546460682530273E-01	  +3.1417709361290247E+02	  +2.4410941758719464E+03	
  +8.6625000000000000E+01	  +3.8839031281757030E-01	  +4.1622287042327621E-01	  +3.1436097489001344E+02	  +2.4410941758719464E+03	
  +8.6750000000000000E+01	  +3.8817099659180310E-01	  +4.1622287042327621E-01	  +3.1429879877696322E+02	  +2.4412067588792947E+03	
  +8.6875000000000000E+01	  +3.8960435292617263E-01	  +4.1622287042327621E-01	  +3.1470515505623644E+02	  +2.4404290301426281E+03	
  +8.7000000000000000E+01	  +3.8902379412332361E-01	  +4.1622287042327621E-01	  +3.1466809424051911E+02	  +2.4420501385501470E+03	
  +8.7125000000000000E+01	  +3.8968840642889274E-01	  +4.1687280219410505E-01	  +3.1454056673345292E+02	  +2.4410368141665294E+03	
  +8.7250000000000000E+01	  +3.8834960767057253E-01	  +4.1817523178228033E-01	  +3.1434943498769837E+02	  +2.4415308270756300E+03	
  +8.7375000000000000E+01	  +3.8817706658819123E-01	  +4.1948108828746933E-01	  +3.1431074150750862E+02	  +2.4404144221923516E+03	
  +8.7500000000000000E+01	  +3.8698433621464395E-01	  +4.2079037834237720E-01	  +3.1396238075999088E+02	  +2.4403784411738238E+03	
  +8.7625000000000000E+01	  +3.8743231067013695E-01	  +4.2144631302579660E-01	  +3.1392996476223271E+02	  +2.4395917873831895E+03	
  +8.7750000000000000E+01	  +3.8732568754625890E-01	  +4.2144631302579660E-01	  +3.1405915380498607E+02	  +2.4395917873831895E+03	
  +8.7875000000000000E+01	  +3.8789761110329013E-01	  +4.2144631302579660E-01	  +3.1404021604987759E+02	  +2.4397746562028910E+03	
  +8.8000000000000000E+01	  +3.8789761110329013E-01	  +4.2144631302579660E-01	  +3.1422129403703531E+02	  +2.4397746562028910E+03	
  +8.8125000000000000E+01	  +3.8875050871121491E-01	  +4.2019710458396620E-01	  +3.1420655509814958E+02	  +2.4397746562028910E+03	
  +8.8250000000000000E+01	  +3.9036570917587576E-01	  +4.1770804309018783E-01	  +3.1492099942473880E+02	  +2.4405644237958095E+03	
  +8.8375000000000000E+01	  +3.9352392253225232E-01	  +4.1523141720817297E-01	  +3.1581635237911257E+02	  +2.4409599336688279E+03	
  +8.8500000000000000E+01	  +3.9492482958429725E-01	  +4.1276718113682492E-01	  +3.1621350929231443E+02	  +2.4419385153703256E+03	
  +8.8625000000000000E+01	  +3.9575887112437530E-01	  +4.1153969499499488E-01	  +3.1622655610517393E+02	  +2.4424414535151618E+03	
  +8.8750000000000000E+01	  +3.9607373763735593E-01	  +4.1153969499499488E-01	  +3.1644995992839063E+02	  +2.4425875214945004E+03	
  +8.8875000000000000E+01	  +3.9607373763735593E-01	  +4.1153969499499488E-01	  +3.1653922453176557E+02	  +2.4426977712010348E+03	
  +8.9000000000000000E+01	  +3.9610557584805933E-01	  +4.1153969499499488E-01	  +3.1654825065913531E+02	  +2.4429803155959671E+03	
  +8.9125000000000000E+01	  +4.0259256849253011E-01	  +4.1072230589648595E-01	  +3.1812285340730824E+02	  +2.4446271332623837E+03	
  +8.9250000000000000E+01	  +4.1302529889828271E-01	  +4.0909163584815955E-01	  +3.2070990029657435E+02	  +2.4484832321768840E+03	
  +8.9375000000000000E+01	  +4.2191397926123425E-01	  +4.0746643205915328E-01	  +3.2267280887242816E+02	  +2.4518562676080146E+03	
  +8.9500000000000000E+01	  +4.3055255945636900E-01	  +4.0584668102031163E-01	  +3.2471380420966324E+02	  +2.4562139235929062E+03	
  +8.9625000000000000E+01	  +4.3370832538264842E-01	  +4.0503884606608148E-01	  +3.2537489194004496E+02	  +2.4573841605157086E+03	
  +8.9750000000000000E+01	  +4.3203118708928712E-01	  +4.0503884606608148E-01	  +3.2499065978864871E+02	  +2.4576047598891269E+03	
  +8.9875000000000000E+01	  +4.3176085654909724E-01	  +4.0503884606608148E-01	  +3.2492872709922386E+02	  +2.4578861692261630E+03	
  +9.0000000000000000E+01	  +4.3007116348346131E-01	  +4.0503884606608148E-01	  +3.2454161865123336E+02	  +2.4592098570500443E+03	
  +9.0125000000000000E+01	  +4.3146110842411417E-01	  +4.0556266792151957E-01	  +3.2486005484518552E+02	  +2.4576658765348870E+03	
  +9.0250000000000000E+01	  +4.3135607523159997E-01	  +4.0661202759193171E-01	  +3.2460808742523670E+02	  +2.4582654241187588E+03	
  +9.0375000000000000E+01	  +4.3113564181154657E-01	  +4.0766367827454830E-01	  +3.2478549048919319E+02	  +2.4600856458420430E+03	
  +9.0500000000000000E+01	  +4.3161920715422497E-01	  +4.0871762365186692E-01	  +3.2489627524242047E+02	  +2.4605976100503731E+03	
  +9.0625000000000000E+01	  +4.3112488916574132E-01	  +4.0924545800279133E-01	  +3.2478302705952416E+02	  +2.4610407545166090E+03	
  +9.0750000000000000E+01	  +4.3047868330707073E-01	  +4.0924545800279133E-01	  +3.2483160458481530E+02	  +2.4604953587168352E+03	
  +9.0875000000000000E+01	  +4.3015881521328941E-01	  +4.0924545800279133E-01	  +3.2466213423534646E+02	  +2.4602186375484207E+03	
  +9.1000000000000000E+01	  +4.2915566894818752E-01	  +4.0924545800279133E-01	  +3.2433187897963188E+02	  +2.4606355983734757E+03	
  +9.1125000000000000E+01	  +4.2988452626704060E-01	  +4.0921524582537216E-01	  +3.2434882150608644E+02	  +2.4599992386078898E+03	
