 TIME                    	m_steamhigh_sec          	m_steamlow_sec           	Qdh                      	
  +9.9875000000000000E+01	  +3.8515724050520830E+00	  +8.1374885603663909E+00	  +2.5079142684763785E+04	
  +1.0000000000000000E+02	  +3.8513109540802160E+00	  +8.1218890220050444E+00	  +2.5079142684763785E+04	
  +1.0012500000000000E+02	  +3.8441943499437645E+00	  +8.1218890220050444E+00	  +2.5078952870820409E+04	
  +1.0025000000000000E+02	  +3.8299824092976373E+00	  +8.1086969526947428E+00	  +2.5078453286119933E+04	
  +1.0037500000000000E+02	  +3.8162200212350945E+00	  +8.1227350381250023E+00	  +2.5077793759001124E+04	
  +1.0050000000000000E+02	  +3.8013257638726881E+00	  +8.1018859213363115E+00	  +2.5076974289463978E+04	
  +1.0062500000000000E+02	  +3.7942591113556543E+00	  +8.1120618601331103E+00	  +2.5076504576288542E+04	
  +1.0075000000000000E+02	  +3.7942200082394679E+00	  +8.0873169481406766E+00	  +2.5076504576288542E+04	
  +1.0087500000000000E+02	  +3.7939058267807857E+00	  +8.0873169481406766E+00	  +2.5076504576288542E+04	
  +1.0100000000000000E+02	  +3.7937320751011616E+00	  +8.0633640349017064E+00	  +2.5076504576288542E+04	
  +1.0112500000000000E+02	  +3.8696130571199348E+00	  +7.9887937204034518E+00	  +2.5208169647484690E+04	
  +1.0125000000000000E+02	  +4.0243549554783025E+00	  +7.8429292759658225E+00	  +2.5472342662493076E+04	
  +1.0137500000000000E+02	  +4.1891311488748544E+00	  +7.7410387079954690E+00	  +2.5737639507656328E+04	
  +1.0150000000000000E+02	  +4.3469634819551821E+00	  +7.6215674858073967E+00	  +2.6004060182974405E+04	
  +1.0162500000000000E+02	  +4.4227092959315550E+00	  +7.5666522598067507E+00	  +2.6137691956941497E+04	
  +1.0175000000000000E+02	  +4.4245712071688690E+00	  +7.5974172777879598E+00	  +2.6137691956941497E+04	
  +1.0187500000000000E+02	  +4.4250219326562199E+00	  +7.5974172777879598E+00	  +2.6137691956941497E+04	
  +1.0200000000000000E+02	  +4.4246717297758735E+00	  +7.5954490075653185E+00	  +2.6137691956941497E+04	
  +1.0212500000000000E+02	  +4.5800889513908762E+00	  +7.4284930822291031E+00	  +2.6484188448153887E+04	
  +1.0225000000000000E+02	  +4.8965527087692315E+00	  +7.1991754823037892E+00	  +2.7178805369242036E+04	
  +1.0237500000000000E+02	  +5.2160779965619568E+00	  +7.0190588295963963E+00	  +2.7875587541881345E+04	
  +1.0250000000000000E+02	  +5.5382406037877834E+00	  +6.8182659261495147E+00	  +2.8574534966071791E+04	
