 TIME                    	Wgross_MW                	Wnet_MW                  	Qboiler_MW               	Q_LHV_MW                 	eta_gross                	eta_net                  	eta_CHP                  	
  +8.7250000000000000E+01	  +1.8375773849047359E+01	  +1.6415101099905549E+01	  +5.2426763730005739E+01	  +6.3164775578320160E+01	  +2.9091805806010679E-01	  +2.5987745463532763E-01	  +7.9300496893458472E-01	
  +8.7375000000000000E+01	  +1.8409942312978135E+01	  +1.6445469716608766E+01	  +5.2513336101866557E+01	  +6.3269079640803078E+01	  +2.9097850668125280E-01	  +2.5992901761768100E-01	  +7.9309228787696018E-01	
  +8.7500000000000000E+01	  +1.8408072539381696E+01	  +1.6443720343328685E+01	  +5.2507204797717982E+01	  +6.3261692527371061E+01	  +2.9098292827712735E-01	  +2.5993171675282128E-01	  +7.9318205554995769E-01	
  +8.7625000000000000E+01	  +1.8450034037769232E+01	  +1.6481094335732035E+01	  +5.2603368102248822E+01	  +6.3377551930420260E+01	  +2.9111307514725093E-01	  +2.6004624403646870E-01	  +7.9321557210143567E-01	
  +8.7750000000000000E+01	  +1.8444044898953511E+01	  +1.6475654631660362E+01	  +5.2596547623396823E+01	  +6.3369334486020264E+01	  +2.9105631372888097E-01	  +2.5999412437091335E-01	  +7.9313286010465656E-01	
  +8.7875000000000000E+01	  +1.8475882399378126E+01	  +1.6504025493433851E+01	  +5.2666559912903338E+01	  +6.3453686642052212E+01	  +2.9117114193225985E-01	  +2.6009561251396629E-01	  +7.9308052243218441E-01	
  +8.8000000000000000E+01	  +1.8475926602628356E+01	  +1.6504007248519642E+01	  +5.2661427897414313E+01	  +6.3447503490860612E+01	  +2.9120021413119507E-01	  +2.6012067205917699E-01	  +7.9315752296954689E-01	
  +8.8125000000000000E+01	  +1.8480087612567356E+01	  +1.6507648615590632E+01	  +5.2681529820709009E+01	  +6.3471722675553018E+01	  +2.9115465649217692E-01	  +2.6007878657985084E-01	  +7.9279371436466617E-01	
  +8.8250000000000000E+01	  +1.8483078699580531E+01	  +1.6510202872524431E+01	  +5.2727641890825531E+01	  +6.3527279386536776E+01	  +2.9094711560239767E-01	  +2.5989154630826844E-01	  +7.9189566506687725E-01	
  +8.8375000000000000E+01	  +1.8516222094590738E+01	  +1.6539643660917733E+01	  +5.2799626312698315E+01	  +6.3614007605660618E+01	  +2.9107146038293447E-01	  +2.6000002646344783E-01	  +7.9238711718955901E-01	
  +8.8500000000000000E+01	  +1.8514267170105366E+01	  +1.6537972492503105E+01	  +5.2792073599978679E+01	  +6.3604907951781534E+01	  +2.9108236716796937E-01	  +2.6001094923430174E-01	  +7.9200378827211393E-01	
  +8.8625000000000000E+01	  +1.8511707039901800E+01	  +1.6535591387373895E+01	  +5.2752357683807986E+01	  +6.3557057450371062E+01	  +2.9126123490466477E-01	  +2.6016924084765597E-01	  +7.9244404356078824E-01	
  +8.8750000000000000E+01	  +1.8519032041047808E+01	  +1.6542209943181060E+01	  +5.2787622104931728E+01	  +6.3599544704737013E+01	  +2.9118183356536631E-01	  +2.6009950259830972E-01	  +7.9232577772550161E-01	
  +8.8875000000000000E+01	  +1.8517741348367192E+01	  +1.6540932121733746E+01	  +5.2815085870405746E+01	  +6.3632633578802100E+01	  +2.9101013594596836E-01	  +2.5994417001851100E-01	  +7.9189368828053242E-01	
  +8.9000000000000000E+01	  +1.8523227208270217E+01	  +1.6545735226795355E+01	  +5.2830769091708916E+01	  +6.3651529026155316E+01	  +2.9100993317314910E-01	  +2.5994246296890178E-01	  +7.9177627174838927E-01	
  +8.9125000000000000E+01	  +1.8534018750446865E+01	  +1.6555317856041388E+01	  +5.2861086137752388E+01	  +6.3688055587653473E+01	  +2.9101247603545710E-01	  +2.5994384195410719E-01	  +7.9188402372590261E-01	
  +8.9250000000000000E+01	  +1.8449922753615407E+01	  +1.6480531199686926E+01	  +5.2660193644042543E+01	  +6.3446016438605469E+01	  +2.9079718143484651E-01	  +2.5975675266601755E-01	  +7.9213668976995077E-01	
  +8.9375000000000000E+01	  +1.8294502351892721E+01	  +1.6342522111120573E+01	  +5.2305406833957811E+01	  +6.3018562450551570E+01	  +2.9030339062792437E-01	  +2.5932870372827005E-01	  +7.9229251056802930E-01	
  +8.9500000000000000E+01	  +1.8147030697413253E+01	  +1.6211496034730235E+01	  +5.1972255585856374E+01	  +6.2617175404646225E+01	  +2.8980915507834826E-01	  +2.5889855187443245E-01	  +7.9157864632463526E-01	
  +8.9625000000000000E+01	  +1.8010293357256643E+01	  +1.6090115391440737E+01	  +5.1638745328790883E+01	  +6.2215355817820338E+01	  +2.8948308854801980E-01	  +2.5861967965844290E-01	  +7.9189655717737206E-01	
  +8.9750000000000000E+01	  +1.7938362631012257E+01	  +1.6026290896834659E+01	  +5.1443354595812949E+01	  +6.1979945296160174E+01	  +2.8942204684591077E-01	  +2.5857220138313886E-01	  +7.9216549644284950E-01	
  +8.9875000000000000E+01	  +1.7937865722561998E+01	  +1.6025927771329027E+01	  +5.1455966666565381E+01	  +6.1995140562126963E+01	  +2.8934309302171823E-01	  +2.5850296694253033E-01	  +7.9171245864035100E-01	
  +9.0000000000000000E+01	  +1.7891243850514194E+01	  +1.5984488199196587E+01	  +5.1330406805361392E+01	  +6.1843863620917332E+01	  +2.8929699412348603E-01	  +2.5846522618923479E-01	  +7.9160451324314751E-01	
  +9.0125000000000000E+01	  +1.7891209705310565E+01	  +1.5984540670158442E+01	  +5.1339527413793761E+01	  +6.1854852305775609E+01	  +2.8924504769434234E-01	  +2.5842015742176316E-01	  +7.9184741219858346E-01	
  +9.0250000000000000E+01	  +1.7822048601627298E+01	  +1.5923087260953800E+01	  +5.1147945778728221E+01	  +6.1624031058708695E+01	  +2.8920614726823668E-01	  +2.5839087426435975E-01	  +7.9234606527406060E-01	
  +9.0375000000000000E+01	  +1.7776171689818639E+01	  +1.5882298034832875E+01	  +5.1057005964290688E+01	  +6.1514465017217688E+01	  +2.8897547405871366E-01	  +2.5818802179922190E-01	  +7.9166314752776934E-01	
  +9.0500000000000000E+01	  +1.7734023542416391E+01	  +1.5844860874568548E+01	  +5.0957508427417380E+01	  +6.1394588466767921E+01	  +2.8885320327565328E-01	  +2.5808236963987735E-01	  +7.9164681219528266E-01	
  +9.0625000000000000E+01	  +1.7684266419070553E+01	  +1.5800690319965701E+01	  +5.0832195910348517E+01	  +6.1243609530540375E+01	  +2.8875284384164085E-01	  +2.5799737215172408E-01	  +7.9171897147522463E-01	
  +9.0750000000000000E+01	  +1.7646167612081136E+01	  +1.5766808415606622E+01	  +5.0753228290296420E+01	  +6.1148467819634234E+01	  +2.8857906405980471E-01	  +2.5784470122968539E-01	  +7.9170593708862580E-01	
  +9.0875000000000000E+01	  +1.7622888536404108E+01	  +1.5746182065323556E+01	  +5.0688341920055173E+01	  +6.1070291469945985E+01	  +2.8856729044885454E-01	  +2.5783702167317463E-01	  +7.9203828499784124E-01	
  +9.1000000000000000E+01	  +1.7592734633171986E+01	  +1.5719439478524340E+01	  +5.0608311407958077E+01	  +6.0973869166214548E+01	  +2.8852908424122231E-01	  +2.5780616669860995E-01	  +7.9194504835534396E-01	
  +9.1125000000000000E+01	  +1.7576750640271552E+01	  +1.5705300063216837E+01	  +5.0560866604149915E+01	  +6.0916706751987846E+01	  +2.8853744034181533E-01	  +2.5781597365659198E-01	  +7.9259789704513040E-01	
  +9.1250000000000000E+01	  +1.7529878168749768E+01	  +1.5663592959827028E+01	  +5.0461556910635956E+01	  +6.0797056518838495E+01	  +2.8833432360854483E-01	  +2.5763735708115287E-01	  +7.9173947560927582E-01	
  +9.1375000000000000E+01	  +1.7537844953193758E+01	  +1.5670802714377512E+01	  +5.0470342668880541E+01	  +6.0807641769735589E+01	  +2.8841514722122430E-01	  +2.5771107476456989E-01	  +7.9189713411791107E-01	
  +9.1500000000000000E+01	  +1.7494106007757090E+01	  +1.5631917641737241E+01	  +5.0355878538958869E+01	  +6.0669733179468508E+01	  +2.8834980955013234E-01	  +2.5765594840340095E-01	  +7.9192405211134909E-01	
  +9.1625000000000000E+01	  +1.7499781737536335E+01	  +1.5637113152640660E+01	  +5.0365822404255482E+01	  +6.0681713740066840E+01	  +2.8838641262666914E-01	  +2.5769069772193676E-01	  +7.9211816571748361E-01	
  +9.1750000000000000E+01	  +1.7440384331070394E+01	  +1.5584185865551756E+01	  +5.0229495375890544E+01	  +6.0517464308301854E+01	  +2.8818762534764536E-01	  +2.5751551297918313E-01	  +7.9193550834638538E-01	
  +9.1875000000000000E+01	  +1.7447036065251019E+01	  +1.5590214216687960E+01	  +5.0241355824164486E+01	  +6.0531754005017447E+01	  +2.8822948140251881E-01	  +2.5755431133543055E-01	  +7.9189992512094698E-01	
  +9.2000000000000000E+01	  +1.7407757680030009E+01	  +1.5555238207224431E+01	  +5.0150057082697593E+01	  +6.0421755521322396E+01	  +2.8810413616477826E-01	  +2.5744432734555522E-01	  +7.9203967779513151E-01	
  +9.2125000000000000E+01	  +1.7409027829000255E+01	  +1.5556470707388247E+01	  +5.0158214780696014E+01	  +6.0431584073127723E+01	  +2.8807829706952154E-01	  +2.5742285174195501E-01	  +7.9182623474378167E-01	
  +9.2250000000000000E+01	  +1.7333979590298323E+01	  +1.5489757702471039E+01	  +4.9966716091934821E+01	  +6.0200862761367247E+01	  +2.8793573372875436E-01	  +2.5730125768913886E-01	  +7.9207766971647087E-01	
  +9.2375000000000000E+01	  +1.7256172179126697E+01	  +1.5420625478161513E+01	  +4.9783909047796918E+01	  +5.9980613310598692E+01	  +2.8769582747960160E-01	  +2.5709349449810742E-01	  +7.9194261196174398E-01	
  +9.2500000000000000E+01	  +1.7177597237811089E+01	  +1.5350806803864442E+01	  +4.9598951964620916E+01	  +5.9757773451350495E+01	  +2.8745376953837765E-01	  +2.5688384819694987E-01	  +7.9184032126717008E-01	
  +9.2625000000000000E+01	  +1.7094968342031336E+01	  +1.5277389689226395E+01	  +4.9403079997005875E+01	  +5.9521783128922735E+01	  +2.8720524559897759E-01	  +2.5666888466926369E-01	  +7.9184983713576040E-01	
  +9.2750000000000000E+01	  +1.7045636385600947E+01	  +1.5233567379826635E+01	  +4.9276870810134831E+01	  +5.9369723867632324E+01	  +2.8710991520871848E-01	  +2.5658814606904035E-01	  +7.9154357925899788E-01	
  +9.2875000000000000E+01	  +1.7048672211828166E+01	  +1.5236393134204995E+01	  +4.9288044570301722E+01	  +5.9383186229279175E+01	  +2.8709594911265024E-01	  +2.5657756179294766E-01	  +7.9185326128589040E-01	
  +9.3000000000000000E+01	  +1.6985186622409344E+01	  +1.5179932960340267E+01	  +4.9111656256615042E+01	  +5.9170670188692817E+01	  +2.8705415315128741E-01	  +2.5654488806586251E-01	  +7.9226611225290355E-01	
  +9.3125000000000000E+01	  +1.6962507542274327E+01	  +1.5159609478568226E+01	  +4.9126359372909732E+01	  +5.9188384786638224E+01	  +2.8658507244995157E-01	  +2.5612473685868359E-01	  +7.9143951267952384E-01	
  +9.3250000000000000E+01	  +1.6702739661399566E+01	  +1.4928430938567544E+01	  +4.8553348605993847E+01	  +5.8498010368667281E+01	  +2.8552662827564973E-01	  +2.5519553305292436E-01	  +7.9125511344994859E-01	
  +9.3375000000000000E+01	  +1.6351429822734495E+01	  +1.4615951831680988E+01	  +4.7759424357243155E+01	  +5.7541475129208614E+01	  +2.8416772051841871E-01	  +2.5400724953368092E-01	  +7.9124069867063862E-01	
  +9.3500000000000000E+01	  +1.6006825879967561E+01	  +1.4309379308062701E+01	  +4.6978420513116554E+01	  +5.6600506642309092E+01	  +2.8280357950015944E-01	  +2.5281362583009787E-01	  +7.9133082089486195E-01	
  +9.3625000000000000E+01	  +1.5650219336863119E+01	  +1.3992297173788801E+01	  +4.6117885364440390E+01	  +5.5563717306554679E+01	  +2.8166256858802552E-01	  +2.5182435323019997E-01	  +7.9196964062475195E-01	
  +9.3750000000000000E+01	  +1.5477951218364625E+01	  +1.3839242845985829E+01	  +4.5674331137678891E+01	  +5.5029314623709503E+01	  +2.8126738128946122E-01	  +2.5148855552024557E-01	  +7.9215011137171898E-01	
  +9.3875000000000000E+01	  +1.5414153271493426E+01	  +1.3782516067512789E+01	  +4.5504220099488101E+01	  +5.4824361565648310E+01	  +2.8115518049464311E-01	  +2.5139400941330065E-01	  +7.9225625244156728E-01	
  +9.4000000000000000E+01	  +1.5310996033789980E+01	  +1.3690826596773976E+01	  +4.5256280697667442E+01	  +5.4525639394780043E+01	  +2.8080360365761731E-01	  +2.5108970291295019E-01	  +7.9205699836833143E-01	
  +9.4125000000000000E+01	  +1.5229434077580931E+01	  +1.3618330561551300E+01	  +4.5047621965944067E+01	  +5.4274243332462724E+01	  +2.8060149976281368E-01	  +2.5091700455648452E-01	  +7.9216786295134400E-01	
